height [m],density [kg/m^3],pressure [N/m^2],temperature [K],speed_of_sound [m/s],dynamic_viscosity [N*s/m^2],kinematic_viscosity [m^2/s]
-5000,1.931123196732851,177761.52507916946,320.6755834361656,358.98633008791035,1.942240203880485e-05,1.0057567570864677e-05
-4000,1.7697269754742821,159598.1523756904,314.1663708217806,355.3242206248076,1.9122799665686043e-05,1.080550838106606e-05
-3000,1.6189046299825922,142972.68558338465,307.6592071379399,351.6251437926733,1.8820216113979813e-05,1.1625277836275126e-05
-2000,1.4781612452746862,127782.8213566623,301.1540914173708,347.8879198176305,1.8514575204715214e-05,1.2525409703374179e-05
-1000,1.347015529416289,113931.14153142163,294.6510226934094,344.111305245279,1.8205798016522562e-05,1.351565562455824e-05
0,1.225000018124288,101325.0,288.15,340.293988026089,1.789380278077583e-05,1.4607185727372237e-05
1000,1.1116596736996904,89876.27760234232,281.6510223716947,336.43458210225776,1.7578504775661537e-05,1.5812847395245432e-05
2000,1.0065537536106361,79501.41106848906,275.15408884365297,332.53162143280116,1.7259816220014498e-05,1.7147436148443482e-05
3000,0.9092543452517026,70121.14406807562,268.65919845164115,328.58355338394585,1.693764616800102e-05,1.8628061836000674e-05
4000,0.8193465989187958,61660.422573723285,262.1663502320318,324.5887314004321,1.661190040602766e-05,2.0274570527233058e-05
5000,0.7364286133691456,54048.26223756018,255.67554322180348,320.545406859744,1.628248135362207e-05,2.211006071468361e-05
6000,0.6601113204727267,47217.617098842886,249.18677645854018,316.4517199951066,1.5949287970489315e-05,2.4161512574981328e-05
7000,0.5900183689037439,41105.24962940734,242.70004898043075,312.3056897537451,1.561221567251407e-05,2.646055867976046e-05
8000,0.5257860068171589,35651.602124181474,236.21535982626853,308.105202433679,1.5271156260183636e-05,2.904443264404743e-05
9000,0.46706296345122866,30800.669444532756,229.73270803545086,303.84799891430504,1.492599786378401e-05,3.1957142894595203e-05
10000,0.4135103295925664,26499.87312280235,223.25209264797857,299.5316602620688,1.4576624910815678e-05,3.5250932969868235e-05
11000,0.36480143683538285,22699.93683700412,216.77351270445553,295.15359145115207,1.4222918122444123e-05,3.898810883484057e-05
12000,0.31193745304757425,19399.391541836598,216.65,295.0694935090715,1.4216130796413357e-05,4.557365798022729e-05
13000,0.26659549435304053,16579.574936310582,216.65,295.0694935090715,1.4216130796413357e-05,5.3324722651117155e-05
14000,0.22785549345037062,14170.334114153266,216.65,295.0694935090715,1.4216130796413357e-05,6.239099431460398e-05
15000,0.19475454731505212,12111.786132143703,216.65,295.0694935090715,1.4216130796413357e-05,7.299511612129955e-05
16000,0.16647043129797626,10352.796835830177,216.65,295.0694935090715,1.4216130796413357e-05,8.539733264081583e-05
17000,0.14230101156987174,8849.700519361308,216.65,295.0694935090715,1.4216130796413357e-05,9.990182528978751e-05
18000,0.12164667551925706,7565.2072718594245,216.65,295.0694935090715,1.4216130796413357e-05,0.00011686411269137312
19000,0.10399533695639329,6467.470450990115,216.65,295.0694935090715,1.4216130796413357e-05,0.00013669969454855826
20000,0.08890963815503643,5529.29077788397,216.65,295.0694935090715,1.4216130796413357e-05,0.00015989414748965617
21000,0.0757146500085348,4728.9256792920905,217.5808535308445,295.70270855761527,1.4267242610802244e-05,0.00018843437312586128
22000,0.06450964445643248,4047.485361196985,218.5741232551876,296.37689036662334,1.4321677942801192e-05,0.00022200832237532397
23000,0.05500553587384881,3466.853762686376,219.5670815982906,297.0493314290387,1.4375989684944496e-05,0.00026135532463341114
24000,0.04693772377262539,2971.7353958015283,220.55972870655341,297.72004363880603,1.4430178405039393e-05,0.0003074324284437337
25000,0.04008375667736631,2549.2129278435896,221.55206472628424,298.38903875267926,1.4484244667793332e-05,0.00036134948089763265
26000,0.03425646258109584,2188.3685911158595,222.54408980369953,299.0563283924377,1.4538189034816474e-05,0.00042439259454767113
27000,0.0292982241018089,1879.9672540944118,223.53580408492417,299.7219240470561,1.4592012064624854e-05,0.0004980510768816165
